rebalance_month,symbol,rank,adv_usd,n_days_trailing
2017-03,UNH,47,545851316.84,252
2017-03,SLB,48,544867096.6,252
2017-03,SBUX,49,542396941.56,252
2017-03,CELG,50,533330746.37,252
2017-03,BIIB,51,531381312.09,252
2017-03,ABBV,52,509436439.97,252
2017-03,PEP,53,507295716.66,252
2017-03,LMT,54,502209325.74,252
2017-03,BIDU,55,500537467.2,252
2017-03,AVGO,56,498032891.71,252
2017-03,PM,57,496234331.26,252
2017-03,CMG,58,492636916.67,252
2017-03,MDT,59,465824338.24,252
2017-03,F,60,465698173.03,252
2017-03,GM,61,464919494.32,252
2017-03,FCX,62,457101676.16,252
2017-03,MS,63,450923193.05,252
2017-03,TGT,64,449204464.97,252
2017-03,MO,65,447894519.49,252
2017-03,CAT,66,444181549.3,252
2017-03,MU,67,442860751.12,252
2017-03,DAL,68,440922627.15,252
2017-03,HAL,69,437530525.95,252
2017-03,CRM,70,433240857.2,252
2017-03,LOW,71,426507432.24,252
2017-03,UNP,72,417008790.01,252
2017-03,AIG,73,414177316.15,252
2017-03,ABT,74,408991892.95,252
2017-03,RTX,75,408645280.69,252
2017-03,MA,76,404839189.33,252
2017-03,MDLZ,77,400770643.44,252
2017-03,COST,78,398754375.02,252
2017-03,COP,79,391301687.71,252
2017-03,HON,80,389614122.5,252
2017-03,NXPI,81,386951749.41,252
2017-03,LLY,82,378001020.11,252
2017-03,TXN,83,377664814.63,252
2017-03,DOW,84,376452271.33,252
2017-03,DD,85,376452271.33,252
2017-03,MMM,86,370995044.05,252
2017-03,TEVA,87,367932708.5,252
2017-03,REGN,88,366550013.95,252
2017-03,VLO,89,351772590.49,252
2017-03,OXY,90,348376599.45,252
2017-03,AMAT,91,346736823.39,252
2017-03,MET,92,344241373.87,252
2017-03,USB,93,343548624.32,252
2017-03,AAL,94,342292776.65,252
2017-03,PYPL,95,341621578.52,252
2017-03,KMI,96,336523746.22,252
2017-03,AXP,97,335930717.45,252
2017-03,B,98,335566640.16,252
2017-03,SHPG,99,329724800.82,252
2017-03,EOG,100,328973516.35,252
2017-03,KR,101,328756720.31,252
2017-03,EBAY,102,323560875.19,252
2017-03,MCK,103,321363010.57,252
2017-03,AMD,104,320446025.86,252
2017-03,ESRX,105,317527221.7,252
2017-03,UPS,106,316529644.34,252
